gene	essential	comment
rt0434	No	
rt4960	No	
rt8275	No	
rt5273	No	
rt8239	No	
rt7616	Yes	
rt8287	No	
rt3279	No	
rt3242	Yes	
rt0201	No	
rt7962	No	
rt7138	Yes	
rt8469	Yes	
rt1432	No	
rt7317	Yes	
rt6009	Yes	
rt7471	No	
rt0172	No	
rt5909	No	
rt3787	No	
rt2234	Yes	
rt6546	No	
rt6242	No	
rt5646	No	
rt7648	No	
rt2960	No	
rt2305	Yes	
rt5322	No	
rt3419	No	
rt8298	Yes	
rt5884	Yes	
rt1611	Yes	
rt8407	Yes	
rt7217	Yes	
rt0357	No	
rt2994	No	
rt0234	No	
rt6691	No	
rt5526	No	
rt7423	No	
rt0075	No	
rt5301	No	
rt4108	No	
rt7537	No	
rt1374	Yes	
rt1973	No	
rt1395	No	
rt0004	No	
rt1627	No	
rt6665	No	
rt0876	No	
rt0309	Yes	
rt4194	No	
rt1457	No	
rt7461	No	
rt5017	No	
rt0808	Yes	
rt5893	Yes	
rt5445	No	
rt0310	No	
rt8036	Yes	
rt5429	No	
rt7532	No	
rt6908	No	
rt1009	No	
rt5051	No	
rt4274	No	
rt6510	No	
rt1332	No	
rt3333	Yes	
rt8364	No	
rt7825	No	
rt0017	No	
rt3101	No	
rt4544	Yes	
rt2849	Yes	
rt4363	Yes	
rt4919	No	
rt7128	Yes	
rt6761	No	
rt7437	Yes	
rt3802	Yes	
rt0341	No	
rt0451	No	
rt3605	Yes	
rt3282	No	
rt3514	No	
rt7070	No	
rt0733	No	
rt8149	No	
rt7110	No	
rt5194	No	
rt5579	No	
rt2756	No	
rt3674	No	
rt5041	No	
rt6356	No	
rt3516	No	
rt0958	No	
rt2093	No	
rt7201	No	
rt0008	No	
rt3021	No	
rt1532	No	
rt6741	Yes	
rt8196	Yes	
rt0084	No	
rt7813	No	
rt3236	No	
rt7828	No	
rt1711	Yes	
rt6769	Yes	
rt0799	Yes	
rt3755	Yes	
rt8313	Yes	
rt6294	Yes	
rt0568	No	
rt1962	Yes	
rt5890	Yes	
rt8184	No	
rt1520	Yes	
rt7221	Yes	
rt3590	Yes	
rt0712	No	
rt6544	Yes	
rt3599	Yes	
rt6418	Yes	
rt1572	Yes	
rt7991	Yes	
rt5391	No	
rt5056	Yes	
rt0602	No	
rt6298	Yes	
rt7540	Yes	
rt0303	Yes	
rt3348	No	
rt0467	Yes	
rt8272	Yes	
rt0413	No	
rt1745	Yes	
rt2613	No	
rt7680	No	
rt4929	No	
rt5212	No	
rt5877	No	
rt0986	No	
rt6937	No	
rt6946	Yes	
rt1296	No	
rt0086	No	
rt6259	No	
rt6173	No	
rt1343	No	
rt7614	No	
rt2172	No	
rt1336	Yes	
rt5669	Yes	
rt4281	Yes	
rt2963	Yes	
rt0180	No	
rt5829	No	
rt8107	Yes	
rt0391	No	
rt7344	No	
rt1131	No	
rt3095	No	
rt8250	No	
rt1487	Yes	
rt7919	No	
rt0265	No	
rt4918	Yes	
rt4475	Yes	
rt6191	No	
rt5365	No	
rt8345	No	
rt7052	Yes	
rt4606	No	
rt0757	No	
rt3157	No	
rt1830	Yes	
rt2501	No	
rt2746	Yes	
rt3791	Yes	
rt2092	Yes	
rt6247	No	
rt3923	Yes	
rt6258	No	
rt3901	No	
rt4576	Yes	
rt1542	Yes	
rt8137	No	
rt0544	Yes	
rt5116	Yes	
rt5472	No	
rt3753	No	
rt0400	No	
rt6884	Yes	
rt0031	No	
rt2116	No	
rt0669	No	
rt6872	No	
rt8135	No	
rt4187	No	
rt4793	No	
rt2949	No	
rt0797	No	
rt4639	No	
rt5260	No	
rt5240	No	
rt6863	No	
rt3250	No	
rt4598	No	
rt7313	No	
rt0830	No	
rt5246	No	
rt7390	No	
rt3174	Yes	
rt3584	No	
rt6998	No	
rt6827	No	
rt7055	No	
rt5633	Yes	
rt6498	No	
rt3052	No	
rt1470	No	
rt5622	No	
rt2964	No	
rt3639	Yes	
rt4271	No	
rt6375	No	
rt1632	Yes	
rt1221	Yes	
rt6820	No	
rt1067	No	
rt1488	No	
rt3880	No	
rt7345	No	
rt7905	No	
rt3476	Yes	
rt3731	Yes	
rt5012	Yes	
rt2385	Yes	
rt6197	Yes	
rt7114	Yes	
rt8181	No	
rt0882	Yes	
rt0211	No	
rt1561	Yes	
rt2245	Yes	
rt2654	No	
rt2671	No	
rt6208	No	
rt3786	No	
rt5227	No	
rt4530	No	
rt1672	Yes	
rt6816	Yes	
rt1837	No	
rt1299	No	
rt1639	Yes	
rt3748	Yes	
rt1228	No	
rt5634	No	
rt5888	No	
rt7136	Yes	
rt7388	Yes	
rt1519	No	
rt8421	No	
rt3077	No	
rt4593	Yes	
rt0563	No	
rt4069	Yes	
rt1964	Yes	
rt4183	Yes	
rt0682	No	
rt1860	Yes	
rt2735	No	
rt3614	No	
rt3278	No	
rt1838	Yes	
rt4862	Yes	
rt0207	Yes	
rt7912	No	
rt7391	No	
rt2060	No	
rt3712	Yes	
rt0283	Yes	
rt4145	No	
rt7651	No	
rt6971	No	
rt4894	No	
rt4673	No	
rt6869	Yes	
rt7845	No	
rt6350	Yes	
rt1206	Yes	
rt3754	Yes	
rt4410	No	
rt0716	Yes	
rt0339	Yes	
rt7511	Yes	
rt4892	Yes	
rt7489	No	
rt3314	Yes	
rt3313	Yes	
rt5654	No	
rt5078	Yes	
rt7188	Yes	
rt7835	Yes	
rt7776	Yes	
rt7599	Yes	
rt0899	No	
rt0854	No	
rt1844	No	
rt1852	No	
rt1127	No	
rt5064	Yes	
rt3783	No	
rt3541	No	
rt7555	No	
rt4897	No	
rt0872	Yes	
rt1776	Yes	
rt2643	No	
rt3577	No	
rt2810	Yes	
rt5549	No	
rt6588	Yes	
rt0239	Yes	
rt5403	No	
rt3531	Yes	
rt4772	Yes	
rt7150	Yes	
rt4257	No	
rt5794	No	
rt0390	Yes	
rt3542	Yes	
rt8085	No	
rt5340	No	
rt8001	No	
rt1768	No	
rt4107	Yes	
rt7840	No	
rt7899	No	
rt6420	No	
rt4066	No	
rt1814	No	
rt3107	No	
rt7872	No	
rt4419	No	
rt0915	Yes	
rt0604	No	
rt1441	No	
rt1924	No	
rt3293	No	
rt8212	No	
rt1963	No	
rt1437	No	
rt7311	No	
rt4934	No	
rt4267	Yes	
rt6698	No	
rt2348	Yes	
rt3750	Yes	
rt6481	Yes	
rt5817	Yes	
rt2107	No	
rt4102	Yes	
rt4881	Yes	
rt5030	Yes	
rt5891	No	
rt4597	Yes	
rt3373	No	
rt2473	No	
rt5343	No	
rt6799	Yes	
rt1147	No	
rt7353	Yes	
rt0873	Yes	
rt0334	Yes	
rt0510	Yes	
rt0168	Yes	
rt0852	No	
rt3764	No	
rt6932	No	
rt7036	Yes	
rt3557	No	
rt7571	No	
rt5026	Yes	
rt5827	No	
rt7857	Yes	
rt6234	No	
rt3118	No	
rt3499	Yes	
rt4016	No	
rt7908	No	
rt2312	No	
rt8262	No	
rt7325	No	
rt5580	Yes	
rt5354	No	
rt5262	Yes	
rt5758	Yes	
rt4634	Yes	
rt0930	No	
rt0910	No	
rt4127	Yes	
rt5869	Yes	
rt2922	Yes	
rt4920	Yes	
rt6206	No	
rt7896	Yes	
rt4692	Yes	
rt1276	No	
rt5719	No	
rt8465	Yes	
rt4840	No	
rt1070	No	
rt5553	Yes	
rt1935	Yes	
rt1057	No	
rt1878	Yes	
rt5857	Yes	
rt5201	No	
rt5044	No	
rt2023	No	
rt5361	Yes	
rt8223	Yes	
rt3609	Yes	
rt0324	No	
rt6458	No	
rt5075	No	
rt0376	No	
rt2006	No	
rt1858	No	
